timestamp,nav_state_timestamp,failsafe_timestamp,armed_time,takeoff_time,onboard_control_sensors_present,onboard_control_sensors_enabled,onboard_control_sensors_health,nav_state,arming_state,hil_state,failsafe,system_type,system_id,component_id,vehicle_type,is_vtol,is_vtol_tailsitter,vtol_fw_permanent_stab,in_transition_mode,in_transition_to_fw,rc_signal_lost,rc_input_mode,data_link_lost,data_link_lost_counter,high_latency_data_link_lost,engine_failure,mission_failure,geofence_violated,failure_detector_status,latest_arming_reason,latest_disarming_reason
264000,96000,0,0,0,807927852,268501004,524332,0,1,0,0,2,1,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0
684000,684000,0,0,0,271122476,268501004,983087,15,1,0,1,2,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
828000,828000,0,0,0,271122476,268501004,983087,1,1,0,1,2,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
1332000,828000,0,0,0,271122476,270598156,271515663,1,1,0,1,2,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
1512000,828000,0,0,0,271122476,270598156,271515663,1,1,0,1,2,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2016000,828000,0,0,0,271122476,270598156,271515663,1,1,0,1,2,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2520000,828000,0,0,0,271122476,270598156,271515663,1,1,0,1,2,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
3024000,828000,0,0,0,271122476,270598156,271515663,1,1,0,1,2,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
3528000,828000,0,0,0,271122476,270598156,271515663,1,1,0,1,2,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
4032000,828000,0,0,0,271122476,270598156,271515663,1,1,0,1,2,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
4536000,828000,0,0,0,271122476,270598156,271515663,1,1,0,1,2,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
5040000,828000,0,0,0,271122476,270598156,271515663,1,1,0,1,2,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
5544000,828000,0,0,0,271122476,270598156,271515663,1,1,0,1,2,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
6048000,828000,0,0,0,271122476,270598156,271515663,1,1,0,1,2,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
