Format Version,1.23,Take Name,Take 2023-04-16 08.31.25 PM,Take Notes,,Capture Frame Rate,200.000000,Export Frame Rate,180.000000,Capture Start Time,2023-04-16 08.31.25.957 下午,Capture Start Frame,98506,Total Frames in Take,11727,Total Exported Frames,10554,Rotation Type,Quaternion,Length Units,Millimeters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,Name,Frame,Frame,Frame,Frame,Frame,Frame,Frame,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody
,ID,C21BDE43D54311EDA1C33D84CA38ABB2,C21BDE43D54311EDA1C33D84CA38ABB2,C21BDE43D54311EDA1C33D84CA38ABB2,C21BDE43D54311EDA1C33D84CA38ABB2,C21BDE43D54311EDA1C33D84CA38ABB2,C21BDE43D54311EDA1C33D84CA38ABB2,C21BDE43D54311EDA1C33D84CA38ABB2,3AD658EDDC5211EDA1C33D84CA38ACB2,3AD658EDDC5211EDA1C33D84CA38ACB2,3AD658EDDC5211EDA1C33D84CA38ACB2,3AD658EDDC5211EDA1C33D84CA38ACB2,3AD658EDDC5211EDA1C33D84CA38ACB2,3AD658EDDC5211EDA1C33D84CA38ACB2,3AD658EDDC5211EDA1C33D84CA38ACB2
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z
0,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.035979,0.003528,-0.010994,0.999286,1433.723145,130.474167,2035.920166
1,0.005000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.035976,0.003525,-0.010988,0.999286,1433.715942,130.482346,2035.911377
2,0.011000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.035982,0.003518,-0.010991,0.999286,1433.708374,130.483429,2035.913208
3,0.016000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.035971,0.003521,-0.010989,0.999286,1433.714722,130.480820,2035.918945
4,0.022000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.035974,0.003534,-0.011015,0.999286,1433.724976,130.478546,2035.918457
5,0.027000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.035956,0.003538,-0.011009,0.999287,1433.719604,130.472763,2035.909424
6,0.033000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.035963,0.003520,-0.011038,0.999286,1433.715698,130.463455,2035.912476
7,0.038000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.035940,0.003518,-0.011013,0.999287,1433.719604,130.473618,2035.907715
8,0.044000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.035947,0.003510,-0.010992,0.999287,1433.720825,130.475632,2035.909424
9,0.050000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.035965,0.003530,-0.011006,0.999286,1433.716064,130.460617,2035.916992
10,0.055000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.035971,0.003517,-0.010996,0.999286,1433.722534,130.469452,2035.920410
